Geschlecht,Alter,Kunden_Typ,Region,Frisch,Milch,Lebensmittel,Tiefkühl,Diverse,class
male,58,retail,other,12669,9656,7561,214,2674,1338
male,51,retail,other,7057,9810,9568,1762,3293,1776
female,34,retail,other,6353,8808,7684,2405,3516,7844
male,42,restaurant,other,13265,1196,4221,6404,507,1788
female,52,retail,other,22615,5410,7198,3915,1777,5185
female,25,retail,other,9413,8259,5126,666,1795,1451
male,58,retail,other,12126,3199,6975,480,3140,545
female,34,retail,other,7579,4956,9426,1669,3321,2566
female,34,restaurant,other,5963,3648,6192,425,1716,750
female,20,retail,other,6006,11093,18881,1159,7425,2098
female,48,retail,other,3366,5403,12974,4400,5977,1744
female,22,retail,other,13146,1124,4523,1420,549,497
male,46,retail,other,31714,12319,11757,287,3881,2931
male,44,retail,other,21217,6208,14982,3095,6707,602
female,26,retail,other,24653,9465,12091,294,5058,2168
male,49,restaurant,other,10253,1114,3821,397,964,412
female,18,retail,other,1020,8816,12121,134,4508,1080
male,47,restaurant,other,5876,6157,2933,839,370,4478
female,16,retail,other,18601,6327,10099,2205,2767,3181
male,14,restaurant,other,7780,2495,9464,669,2518,501
male,38,retail,other,17546,4519,4602,1066,2259,2124
male,57,restaurant,other,5567,871,2010,3383,375,569
male,55,restaurant,other,31276,1917,4469,9408,2381,4334
male,19,retail,other,26373,36423,22019,5154,4337,16523
female,53,retail,other,22647,9776,13792,2915,4482,5778
female,49,retail,other,16165,4230,7595,201,4003,57
male,37,restaurant,other,9898,961,2861,3151,242,833
male,22,restaurant,other,14276,803,3045,485,100,518
male,55,retail,other,4113,20484,25957,1158,8604,5206
female,59,restaurant,other,43088,2100,2609,1200,1107,823
female,47,restaurant,other,18815,3610,11107,1148,2134,2963
male,27,restaurant,other,2612,4339,3133,2088,820,985
male,52,restaurant,other,21632,1318,2886,266,918,405
male,47,restaurant,other,29729,4786,7326,6130,361,1083
female,52,restaurant,other,1502,1979,2262,425,483,395
male,46,retail,other,688,5491,11091,833,4239,436
female,21,restaurant,other,29955,4362,5428,1729,862,4626
female,52,retail,other,15168,10556,12477,1920,6506,714
female,16,retail,other,4591,15729,16709,33,6956,433
male,14,restaurant,other,56159,555,902,10002,212,2916
male,57,restaurant,other,24025,4332,4757,9510,1145,5864
female,55,restaurant,other,19176,3065,5956,2033,2575,2802
male,32,retail,other,10850,7555,14961,188,6899,46
female,56,retail,other,630,11095,23998,787,9529,72
female,50,retail,other,9670,7027,10471,541,4618,65
female,21,retail,other,5181,22044,21531,1740,7353,4985
male,23,retail,other,3103,14069,21955,1668,6792,1452
female,45,retail,other,44466,54259,55571,7782,24171,6465
male,55,retail,other,11519,6152,10868,584,5121,1476
female,50,retail,other,4967,21412,28921,1798,13583,1163
male,29,restaurant,other,6269,1095,1980,3860,609,2162
female,29,restaurant,other,3347,4051,6996,239,1538,301
